"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,255,709","100"
"2","www.blogger.com","31,259,468","100"
"3","youtube.com","24,325,855","100"
"4","wordpress.org","12,518,209","99"
"5","linkedin.com","13,261,699","99"
"6","apple.com","6,839,052","99"
"7","support.google.com","5,737,680","99"
"8","microsoft.com","5,576,463","99"
"9","docs.google.com","3,637,874","98"
"10","en.wikipedia.org","7,211,447","98"
"11","youtu.be","5,442,575","98"
"12","maps.google.com","6,201,540","98"
"13","cloudflare.com","8,082,123","98"
"14","mozilla.org","2,587,730","98"
"15","play.google.com","4,008,378","98"
"16","adobe.com","2,885,701","97"
"17","europa.eu","2,426,813","97"
"18","bp.blogspot.com","18,317,386","97"
"19","whatsapp.com","4,726,357","97"
"20","drive.google.com","2,676,649","97"
"21","sites.google.com","2,395,535","97"
"22","googleusercontent.com","3,873,063","97"
"23","plus.google.com","11,017,206","97"
"24","accounts.google.com","2,557,458","97"
"25","facebook.com","61,964,595","96"
"26","vk.com","1,869,944","96"
"27","amazon.com","5,159,112","96"
"28","uol.com.br","694,564","96"
"29","vimeo.com","3,641,417","96"
"30","policies.google.com","3,520,510","96"
"31","github.com","3,155,225","96"
"32","istockphoto.com","3,724,408","96"
"33","t.me","1,769,072","96"
"34","search.google.com","1,822,764","95"
"35","enable-javascript.com","8,003,754","95"
"36","dropbox.com","1,127,682","95"
"37","live.com","1,023,173","95"
"38","cpanel.net","2,134,878","95"
"39","google.es","481,439","95"
"40","developers.google.com","1,171,582","95"
"41","www.weebly.com","6,776,616","95"
"42","files.wordpress.com","7,671,619","95"
"43","wikimedia.org","2,112,879","95"
"44","draft.blogger.com","12,669,823","95"
"45","cnn.com","1,674,411","95"
"46","gstatic.com","641,901","95"
"47","creativecommons.org","1,780,006","95"
"48","jimdofree.com","1,702,297","95"
"49","workspace.google.com","934,289","95"
"50","google.com.br","298,994","95"
"51","brandbucket.com","11,178,199","95"
"52","tools.google.com","1,855,540","95"
"53","medium.com","1,855,217","95"
"54","theguardian.com","1,609,686","95"
"55","dailymotion.com","1,134,729","95"
"56","tiktok.com","1,450,899","95"
"57","nytimes.com","2,222,685","95"
"58","myspace.com","1,370,157","95"
"59","es.wikipedia.org","995,374","95"
"60","slideshare.net","1,004,848","95"
"61","nih.gov","1,579,476","95"
"62","bbc.co.uk","1,754,161","95"
"63","mail.google.com","693,963","95"
"64","globo.com","467,908","95"
"65","ok.ru","378,553","95"
"66","news.google.com","868,243","95"
"67","w3.org","1,147,550","95"
"68","googleblog.com","4,358,833","95"
"69","paypal.com","1,190,463","95"
"70","goo.gl","5,154,894","95"
"71","imdb.com","1,562,486","95"
"72","netvibes.com","1,237,099","95"
"73","pt.wikipedia.org","426,356","95"
"74","feedburner.com","1,797,604","95"
"75","fr.wikipedia.org","659,470","95"
"76","google.de","1,087,030","95"
"77","line.me","1,110,420","95"
"78","wa.me","2,027,325","95"
"79","www.yahoo.com","1,321,642","95"
"80","gravatar.com","12,672,187","95"
"81","opera.com","1,034,599","95"
"82","fb.com","487,466","94"
"83","indiatimes.com","514,315","94"
"84","samsung.com","426,990","94"
"85","marketingplatform.google....","916,987","94"
"86","time.com","858,202","94"
"87","t.co","2,203,846","94"
"88","archive.org","1,388,972","94"
"89","aboutads.info","723,102","94"
"90","nasa.gov","708,447","94"
"91","wiley.com","703,475","94"
"92","de.wikipedia.org","683,645","94"
"93","spotify.com","1,823,388","94"
"94","shopify.com","3,442,667","94"
"95","huffpost.com","1,198,527","94"
"96","wp.com","2,248,727","94"
"97","who.int","2,040,624","94"
"98","mirror.co.uk","428,571","94"
"99","amazon.co.jp","884,213","94"
"100","afternic.com","2,632,755","94"
"101","independent.co.uk","784,748","94"
"102","change.org","510,906","94"
"103","nginx.org","1,148,648","94"
"104","picasaweb.google.com","622,029","94"
"105","bloomberg.com","888,959","94"
"106","discord.com","505,709","94"
"107","pinterest.com","9,116,007","94"
"108","telegraph.co.uk","1,017,957","94"
"109","bit.ly","5,071,659","94"
"110","hatena.ne.jp","1,636,285","94"
"111","mail.ru","483,025","94"
"112","thesun.co.uk","430,393","94"
"113","google.co.uk","593,358","94"
"114","news.yahoo.com","724,932","94"
"115","ovh.com","665,045","94"
"116","bing.com","1,075,110","94"
"117","plesk.com","713,504","94"
"118","forbes.com","1,490,438","94"
"119","yadi.sk","157,020","94"
"120","ig.com.br","159,136","94"
"121","elpais.com","445,298","94"
"122","planalto.gov.br","126,420","94"
"123","un.org","648,539","94"
"124","webmd.com","856,233","94"
"125","wsj.com","1,002,266","94"
"126","issuu.com","1,036,078","94"
"127","namecheap.com","1,085,053","94"
"128","www.gov.br","185,311","94"
"129","forms.gle","959,790","94"
"130","list-manage.com","798,321","94"
"131","google.co.jp","649,549","94"
"132","amazon.de","569,975","94"
"133","office.com","753,328","94"
"134","cbsnews.com","706,695","94"
"135","hugedomains.com","16,325,170","94"
"136","reuters.com","971,410","94"
"137","booking.com","431,261","94"
"138","terra.com.br","200,775","94"
"139","businessinsider.com","880,509","94"
"140","youronlinechoices.com","592,524","94"
"141","fandom.com","660,890","94"
"142","google.it","444,489","94"
"143","cnet.com","762,004","94"
"144","researchgate.net","794,724","94"
"145","instagram.com","30,893,986","94"
"146","4shared.com","574,452","94"
"147","myaccount.google.com","377,362","94"
"148","huffingtonpost.com","1,070,550","94"
"149","nature.com","679,678","94"
"150","soundcloud.com","1,921,670","94"
"151","buydomains.com","1,256,361","94"
"152","photos.google.com","279,825","94"
"153","dan.com","4,273,743","94"
"154","get.google.com","629,194","94"
"155","adssettings.google.com","480,769","94"
"156","aliexpress.com","543,949","94"
"157","networkadvertising.org","714,388","94"
"158","estadao.com.br","138,653","94"
"159","bbc.com","940,105","94"
"160","storage.googleapis.com","1,112,378","94"
"161","google.fr","417,602","94"
"162","www.gov.uk","653,783","94"
"163","dailymail.co.uk","1,135,649","94"
"164","mediafire.com","898,218","94"
"165","scribd.com","776,098","94"
"166","shutterstock.com","564,278","94"
"167","amazon.co.uk","809,064","94"
"168","domainmarket.com","953,412","94"
"169","ytimg.com","1,066,729","94"
"170","cdc.gov","954,488","94"
"171","abril.com.br","279,647","94"
"172","usatoday.com","898,586","94"
"173","tinyurl.com","1,475,809","94"
"174","washingtonpost.com","1,197,232","94"
"175","telegram.me","443,312","94"
"176","twitter.com","61,463,233","94"
"177","pixabay.com","510,935","94"
"178","msn.com","1,090,829","94"
"179","ru.wikipedia.org","379,041","94"
"180","reg.ru","527,389","94"
"181","prezi.com","344,733","93"
"182","ggpht.com","791,585","93"
"183","nationalgeographic.com","654,130","93"
"184","windows.net","459,374","93"
"185","privacyshield.gov","428,499","93"
"186","springer.com","572,276","93"
"187","yandex.ru","1,066,660","93"
"188","lemonde.fr","287,268","93"
"189","timeweb.ru","660,319","93"
"190","dw.com","414,483","93"
"191","books.google.com","454,078","93"
"192","cambridge.org","396,228","93"
"193","cornell.edu","496,300","93"
"194","gofundme.com","373,192","93"
"195","pexels.com","395,990","93"
"196","imageshack.us","710,120","93"
"197","addtoany.com","784,068","93"
"198","cpanel.com","976,112","93"
"199","code.google.com","319,035","93"
"200","ea.com","237,801","93"
"201","ft.com","528,774","93"
"202","loc.gov","493,020","93"
"203","taringa.net","151,359","93"
"204","abc.es","213,093","93"
"205","ikea.com","384,063","93"
"206","unsplash.com","684,867","93"
"207","gooyaabitemplates.com","599,483","93"
"208","spiegel.de","374,980","93"
"209","qq.com","4,364,061","93"
"210","quora.com","494,302","93"
"211","www.canalblog.com","410,770","93"
"212","gizmodo.com","412,765","93"
"213","photobucket.com","1,631,861","93"
"214","weibo.com","1,415,359","93"
"215","hindustantimes.com","262,275","93"
"216","bloglovin.com","549,253","93"
"217","cointernet.com.co","687,942","93"
"218","nypost.com","457,359","93"
"219","rakuten.co.jp","670,895","93"
"220","mozilla.com","209,067","93"
"221","freepik.com","384,843","93"
"222","zippyshare.com","190,399","93"
"223","goodreads.com","955,863","93"
"224","plos.org","342,508","93"
"225","lavanguardia.com","172,670","93"
"226","target.com","317,782","93"
"227","bp2.blogger.com","561,772","93"
"228","google.nl","276,135","93"
"229","kickstarter.com","505,775","93"
"230","theatlantic.com","598,954","93"
"231","bp1.blogger.com","561,150","93"
"232","npr.org","896,225","93"
"233","telegra.ph","332,576","93"
"234","netlify.app","444,385","93"
"235","linktr.ee","602,102","93"
"236","ovhcloud.com","669,445","93"
"237","000webhost.com","244,788","93"
"238","yahoo.co.jp","670,796","93"
"239","sapo.pt","240,854","93"
"240","ca.gov","583,290","93"
"241","redbull.com","174,716","93"
"242","britannica.com","586,280","93"
"243","vice.com","428,612","93"
"244","ted.com","659,095","93"
"245","buzzfeed.com","639,672","93"
"246","techcrunch.com","543,798","93"
"247","vistaprint.com","787,752","93"
"248","zoom.us","705,286","93"
"249","ebay.com","964,937","93"
"250","pinterest.fr","124,313","93"
"251","www.livejournal.com","3,022,762","93"
"252","playstation.com","272,926","93"
"253","sputniknews.com","186,743","93"
"254","rapidshare.com","294,211","93"
"255","insider.com","406,587","93"
"256","sciencedaily.com","381,633","93"
"257","sfgate.com","389,523","93"
"258","canva.com","359,520","93"
"259","dropcatch.com","801,313","93"
"260","home.pl","217,731","93"
"261","translate.google.com","298,462","93"
"262","photos1.blogger.com","779,544","93"
"263","groups.google.com","415,766","93"
"264","secureserver.net","901,031","93"
"265","hp.com","504,033","93"
"266","ietf.org","415,115","93"
"267","ouest-france.fr","144,624","93"
"268","ipv4.google.com","326,542","93"
"269","wikia.com","507,798","93"
"270","instructables.com","364,691","93"
"271","elsevier.com","354,079","93"
"272","amazon.es","205,064","93"
"273","steampowered.com","318,427","93"
"274","20minutos.es","183,388","93"
"275","latimes.com","749,734","93"
"276","oup.com","460,154","93"
"277","tmz.com","243,268","93"
"278","sedo.com","2,588,324","93"
"279","ziddu.com","192,742","93"
"280","www.wikipedia.org","560,792","93"
"281","alicdn.com","571,775","93"
"282","stackoverflow.com","413,787","93"
"283","huawei.com","1,937,697","93"
"284","icann.org","652,183","93"
"285","nydailynews.com","391,806","93"
"286","espn.com","411,000","93"
"287","doubleclick.net","501,798","93"
"288","unesco.org","371,724","93"
"289","economist.com","405,289","93"
"290","ovh.net","544,543","93"
"291","newsweek.com","423,578","93"
"292","naver.com","548,737","93"
"293","yandex.com","1,551,757","93"
"294","e-monsite.com","145,389","93"
"295","ibm.com","551,800","93"
"296","cbc.ca","513,524","93"
"297","finance.yahoo.com","509,314","93"
"298","amzn.to","1,050,968","93"
"299","m.wikipedia.org","353,477","93"
"300","nginx.com","1,061,047","93"
"301","wired.com","713,794","93"
"302","bandcamp.com","649,220","93"
"303","mit.edu","757,615","93"
"304","marca.com","125,965","93"
"305","ssl-images-amazon.com","587,952","93"
"306","sciencedirect.com","750,965","93"
"307","psychologytoday.com","419,086","93"
"308","walmart.com","388,962","93"
"309","abc.net.au","430,422","93"
"310","engadget.com","449,667","93"
"311","canada.ca","326,405","93"
"312","dreamstime.com","454,662","93"
"313","aol.com","673,565","93"
"314","addthis.com","640,848","93"
"315","offset.com","1,973,244","93"
"316","liveinternet.ru","358,308","93"
"317","elmundo.es","247,879","93"
"318","tripadvisor.com","782,705","93"
"319","clickbank.net","470,893","93"
"320","amazonaws.com","416,591","93"
"321","oracle.com","636,467","93"
"322","hollywoodreporter.com","318,534","93"
"323","newyorker.com","453,665","93"
"324","smh.com.au","340,679","93"
"325","mystrikingly.com","425,441","93"
"326","guardian.co.uk","599,250","93"
"327","biglobe.ne.jp","274,580","93"
"328","apache.org","1,084,861","93"
"329","abcnews.go.com","598,736","93"
"330","ria.ru","196,945","93"
"331","ftc.gov","316,111","93"
"332","francetvinfo.fr","183,575","93"
"333","gnu.org","598,606","93"
"334","thenai.org","470,169","93"
"335","webnode.page","516,912","93"
"336","www.wix.com","2,786,976","93"
"337","surveymonkey.com","455,427","93"
"338","it.wikipedia.org","354,385","93"
"339","disqus.com","929,401","93"
"340","php.net","688,725","93"
"341","netflix.com","404,205","93"
"342","berkeley.edu","512,141","93"
"343","yelp.com","991,802","93"
"344","academia.edu","426,802","93"
"345","amazon.fr","270,099","93"
"346","themeforest.net","547,945","93"
"347","search.yahoo.com","528,564","93"
"348","picasa.google.com","257,768","93"
"349","thetimes.co.uk","435,614","93"
"350","discord.gg","463,580","93"
"351","lefigaro.fr","233,968","93"
"352","usnews.com","487,920","93"
"353","zendesk.com","541,759","93"
"354","mega.nz","211,787","93"
"355","fb.me","355,994","93"
"356","calendar.google.com","226,633","93"
"357","clarin.com","150,285","93"
"358","www.over-blog.com","811,986","93"
"359","disney.com","267,898","93"
"360","akamaihd.net","600,356","93"
"361","gmail.com","216,756","93"
"362","sedoparking.com","757,178","93"
"363","alibaba.com","405,943","93"
"364","ja.wikipedia.org","377,467","93"
"365","arxiv.org","292,101","93"
"366","whitehouse.gov","424,696","93"
"367","express.co.uk","393,931","93"
"368","google.ru","198,870","93"
"369","deezer.com","178,004","93"
"370","mashable.com","458,031","93"
"371","harvard.edu","826,754","93"
"372","id.wikipedia.org","567,774","93"
"373","detik.com","407,184","93"
"374","doi.org","616,408","93"
"375","t-online.de","264,165","93"
"376","twitch.tv","550,457","93"
"377","foxnews.com","602,485","93"
"378","rtve.es","200,335","93"
"379","outlook.com","427,284","93"
"380","pl.wikipedia.org","151,183","93"
"381","hubspot.com","383,352","93"
"382","cnil.fr","249,857","93"
"383","rt.com","314,911","93"
"384","skype.com","439,831","93"
"385","google.ca","341,314","93"
"386","variety.com","332,667","93"
"387","rambler.ru","935,576","93"
"388","cnbc.com","613,752","93"
"389","pbs.org","564,927","93"
"390","godaddy.com","2,570,456","93"
"391","vkontakte.ru","338,920","93"
"392","google.pl","191,544","93"
"393","sendspace.com","152,143","93"
"394","stanford.edu","673,445","93"
"395","sakura.ne.jp","414,290","93"
"396","android.com","324,551","93"
"397","wikihow.com","664,258","93"
"398","nbcnews.com","723,900","93"
"399","theverge.com","439,678","93"
"400","eventbrite.com","689,972","93"
"401","about.com","735,618","93"
"402","alexa.com","308,202","93"
"403","frontiersin.org","284,182","92"
"404","princeton.edu","360,591","92"
"405","java.com","152,232","92"
"406","bestfreecams.club","401,803","92"
"407","narod.ru","272,499","92"
"408","jstor.org","274,543","92"
"409","justgiving.com","162,708","92"
"410","groups.yahoo.com","302,975","92"
"411","theconversation.com","372,918","92"
"412","mailchimp.com","422,131","92"
"413","feedproxy.google.com","715,287","92"
"414","bmj.com","313,885","92"
"415","ubuntu.com","257,805","92"
"416","deloitte.com","246,245","92"
"417","com.com","249,627","92"
"418","welt.de","273,877","92"
"419","admin.ch","229,760","92"
"420","focus.de","167,262","92"
"421","howstuffworks.com","324,800","92"
"422","si.edu","323,192","92"
"423","tvtropes.org","143,144","92"
"424","asahi.com","206,957","92"
"425","washington.edu","391,328","92"
"426","businesswire.com","364,865","92"
"427","gamestop.com","154,663","92"
"428","parallels.com","533,440","92"
"429","prnewswire.com","488,430","92"
"430","histats.com","453,179","92"
"431","usc.edu","247,086","92"
"432","google.com.au","226,972","92"
"433","theglobeandmail.com","274,563","92"
"434","rottentomatoes.com","265,710","92"
"435","usgs.gov","256,192","92"
"436","psu.edu","352,809","92"
"437","goo.ne.jp","333,098","92"
"438","namebright.com","873,469","92"
"439","scientificamerican.com","357,996","92"
"440","liberation.fr","127,437","92"
"441","amazon.ca","257,010","92"
"442","corriere.it","195,497","92"
"443","amazon.in","239,336","92"
"444","justice.gov","234,345","92"
"445","google.co.th","120,747","92"
"446","gfycat.com","162,962","92"
"447","storage.canalblog.com","319,437","92"
"448","oecd.org","231,552","92"
"449","fifa.com","201,728","92"
"450","noaa.gov","362,144","92"
"451","waze.com","137,197","92"
"452","airbnb.com","248,727","92"
"453","metro.co.uk","285,992","92"
"454","viglink.com","400,330","92"
"455","reverbnation.com","227,556","92"
"456","gitlab.com","213,093","92"
"457","web.fc2.com","293,386","92"
"458","stuff.co.nz","195,313","92"
"459","note.com","130,658","92"
"460","patreon.com","429,986","92"
"461","excite.co.jp","492,815","92"
"462","bustle.com","224,358","92"
"463","pewresearch.org","345,259","92"
"464","vox.com","485,820","92"
"465","nikkei.com","262,332","92"
"466","imgur.com","1,478,445","92"
"467","google.co.in","282,566","92"
"468","justjared.com","124,203","92"
"469","ucoz.ru","182,073","92"
"470","g.co","186,345","92"
"471","gettyimages.com","404,823","92"
"472","leparisien.fr","153,854","92"
"473","allaboutcookies.org","476,430","92"
"474","weather.com","235,055","92"
"475","hbr.org","361,843","92"
"476","bp3.blogger.com","561,776","92"
"477","chicagotribune.com","380,557","92"
"478","marketwatch.com","394,662","92"
"479","blackberry.com","145,542","92"
"480","scholastic.com","201,395","92"
"481","salesforce.com","255,836","92"
"482","epa.gov","395,893","92"
"483","lycos.com","681,809","92"
"484","usda.gov","446,543","92"
"485","umich.edu","378,860","92"
"486","billboard.com","249,673","92"
"487","intel.com","268,895","92"
"488","ads.google.com","167,579","92"
"489","digitaloceanspaces.com","301,782","92"
"490","thoughtco.com","378,813","92"
"491","cbslocal.com","312,576","92"
"492","pinterest.de","132,533","92"
"493","jhu.edu","263,518","92"
"494","interia.pl","162,952","92"
"495","google.com.tw","148,478","92"
"496","ameblo.jp","751,312","92"
"497","rediff.com","270,463","92"
"498","bp0.blogger.com","561,016","92"
"499","feedburner.google.com","336,291","92"
"500","public-api.wordpress.com","189,711","92"
